increment,price,zero
1,165.369995,0
2,164.570007,0
3,163.679993,0
4,164.240005,0
5,163.990005,0
6,165.179993,0
7,168.309998,0
8,167.910004,0
9,170.509995,0
10,170.809998,0
11,171.190002,0
12,170.729996,0
13,171.320007,0
14,175.229996,0
15,175.479996,0
16,177.300003,0
17,176.710007,0
18,177.350006,0
19,177.399994,0
20,179.179993,0
21,179.389999,0
22,179.630005,0
23,178.630005,0
24,180.350006,0
25,180.610001,0
26,180.429993,0
27,181.820007,0
28,182.190002,0
29,180.509995,0
30,180.559998,0
31,183.350006,0
32,182.410004,0
33,181.600006,0
34,181.330002,0
35,181.179993,0
36,180.190002,0
37,179.360001,0
38,179.229996,0
39,181.169998,0
40,180.710007,0
41,181.179993,0
42,183.229996,0
43,182.059998,0
44,182.229996,0
45,180.649994,0
46,179.509995,0
47,179.100006,0
48,178.789993,0
49,179.660004,0
50,178.190002,0
51,177.839996,0
52,176.529999,0
53,176.880005,0
54,179.539993,0
55,179.080002,0
56,179.350006,0
57,179.039993,0
58,177.970001,0
59,178.429993,0
60,179.539993,0
61,179.539993,0
62,180.660004,0
63,181.270004,0
64,180.529999,0
65,179.110001,0
66,179.029999,0
67,178.029999,0
68,178.210007,0
69,179.419998,0
70,180.190002,0
71,180.539993,0
72,180.919998,0
73,181.199997,0
74,181.679993,0
75,180.839996,0
76,181.110001,0
77,180.699997,0
78,181.880005,0
79,182.259995,0
80,183.429993,0
81,182.179993,0
82,180.630005,0
83,179.830002,0
84,178.369995,0
85,179.009995,0
86,180.080002,0
87,179.990005,0
88,180.759995,0
89,180.619995,0
90,181.919998,0
91,184.279999,0
92,184.610001,0
93,183.869995,0
94,184.539993,0
95,185.660004,0
96,187.419998,0
97,189.720001,0
98,189.639999,0
99,188.559998,0
100,187.600006,0
101,188.289993,0
102,187.860001,0
103,187.679993,0
104,187.75,0
105,189.550003,0
106,189.320007,0
107,190.039993,0
108,190.160004,0
109,191.059998,0
110,189.679993,0
111,189.509995,0
112,189.039993,0
113,187.610001,0
114,185.330002,0
115,187.100006,0
116,186.529999,0
117,187.339996,0
118,186.630005,0
119,186.729996,0
120,189.610001,0
121,189.149994,0
122,189.740005,0
123,190.059998,0
124,191.229996,0
125,191.850006,0
126,192.429993,0
127,192.009995,0
128,191.449997,0
129,192.520004,0
130,191.929993,0
131,191.050003,0
132,192.369995,0
133,192.940002,0
134,193.289993,0
135,192.720001,0
136,194.720001,0
137,195.649994,0
138,194.380005,0
139,195.130005,0
140,194.350006,0
141,192.550003,0
142,191.580002,0
143,192.059998,0
144,192.399994,0
145,189.600006,0
146,189.929993,0
147,190.919998,0
148,192.110001,0
149,191.479996,0
150,190.619995,0
151,187.929993,0
152,187.679993,0
153,188.949997,0
154,188.320007,0
155,187.630005,0
156,187.300003,0
157,187.410004,0
158,187.259995,0
159,186.100006,0
160,186.380005,0
161,188.080002,0
162,189.160004,0
163,187.360001,0
164,187.169998,0
165,187.309998,0
166,188.100006,0
167,188.830002,0
168,188.929993,0
169,188.630005,0
170,187.910004,0
171,187.369995,0
172,187.270004,0
173,188.240005,0
174,188.25,0
175,186.899994,0
176,185.029999,0
177,183.690002,0
178,182.910004,0
179,182.880005,0
180,181.360001,0
181,181.710007,0
182,183.389999,0
183,182.050003,0
184,184.300003,0
185,182.619995,0
186,180.660004,0
187,181.289993,0
188,182.080002,0
189,185.070007,0
190,184.059998,0
191,184.360001,0
192,183.220001,0
193,181.869995,0
194,181.869995,0
195,182.520004,0
196,182.779999,0
197,184.279999,0
198,186.369995,0
199,186.080002,0
200,187.979996,0
201,187.660004,0
202,187.039993,0
203,186.960007,0
204,188.039993,0
205,189.089996,0
206,188.5,0
207,187.520004,0
208,187.759995,0
209,189.229996,0
210,190.070007,0
211,189.820007,0
212,191.529999,0
213,191.25,0
214,192.369995,0
215,192.759995,0
216,192.619995,0
217,193.720001,0
218,197.279999,0
219,198.080002,0
220,197.100006,0
221,199.059998,0
222,198.110001,0
223,198.710007,0
224,198.669998,0
225,198.990005,0
226,201.410004,0
227,201.520004,0
228,200.350006,0
229,200.669998,0
230,202.539993,0
231,202.169998,0
232,200.460007,0
233,200.860001,0
234,204.229996,0
235,203.880005,0
236,202.990005,0
237,204.25,0
238,204.389999,0
239,206.309998,0
240,206.729996,0
241,209.940002,0
242,212.020004,0
243,210.649994,0
244,209.809998,0
245,210.020004,0
246,210.940002,0
247,208.570007,0
248,207.139999,0
249,207.649994,0
250,209.610001,0
251,210.679993,0
252,211.279999,0
253,209.589996,0
254,210.880005,0
255,210.649994,0
256,213.800003,0
257,207.970001,0
258,206.110001,0
259,205.960007,0
260,206.720001,0
261,206.639999,0
262,208.259995,0
263,209.169998,0
264,208.429993,0
265,207.529999,0
266,205.789993,0
267,203.490005,0
268,204.25,0
269,206.429993,0
270,207.389999,0
271,209.809998,0
272,210.289993,0
273,209.330002,0
274,211.779999,0
275,213.960007,0
276,212.789993,0
277,212.960007,0
278,213.470001,0
279,214.559998,0
280,216.240005,0
281,215.919998,0
282,215.970001,0
283,217.399994,0
284,219.759995,0
285,222.449997,0
286,219.759995,0
287,222.220001,0
288,224.619995,0
289,224.339996,0
290,223.789993,0
291,224.039993,0
292,226.770004,0
293,226.919998,0
294,225.419998,0
295,224.380005,0
296,224.339996,0
297,225.130005,0
298,225.570007,0
